adiY	adiA
ihfA	sufA
ihfA	uspA
ihfA	osmY
ihfA	dps
ihfA	acs
ihfA	adiA
ihfA	sra
ihfA	gltF
ihfA	ibpB
ihfA	caiD
ihfA	caiC
ihfA	caiB
ihfA	caiA
ihfA	caiT
ihfA	atoD
ihfA	atoA
ihfA	atoE
ihfA	atoB
ihfA	nuoM
ihfA	nuoF
ihfA	nrfA
ihfA	amiA
ihfA	yjbE
ihfA	yjbF
ihfA	yjbG
ihfA	yjbH
ihfA	pspG
ihfA	actP
ihfA	yjcH
ihfA	nrfB
ihfA	nrfC
ihfA	nrfD
ihfA	nrfE
ihfA	nrfF
ihfA	nrfG
ihfA	htrE
ihfA	ecpD
ihfA	fimI
ihfA	yeiL
ihfA	nuoA
ihfA	nuoB
ihfA	nuoC
ihfA	nuoE
ihfA	nuoG
ihfA	nuoH
ihfA	nuoI
ihfA	nuoJ
ihfA	nuoK
ihfA	nuoL
ihfA	nuoN
ihfA	hemF
ihfA	uspB
ihfA	yiaJ
ihfA	yiaK
ihfA	yiaL
ihfA	yiaM
ihfA	yiaN
ihfA	yiaO
ihfA	lyxK
ihfA	sgbH
ihfA	sgbU
iscR	hyaE
iscR	hyaF
iscR	sufA
iscR	napC
iscR	napB
iscR	napH
iscR	napG
iscR	napA
iscR	napF
iscR	iscA
iscR	napD
iscR	erpA
iscR	sufE
iscR	sufS
iscR	sufD
iscR	sufC
iscR	sufB
iscR	ydiU
iscR	iscU
iscR	iscS
iscR	nfuA
iscR	hyaA
iscR	hyaB
iscR	hyaC
iscR	hyaD
kdgR	eda
lacI	lacA
lacI	lacZ
lacI	lacY
leuO	bglB
leuO	bglJ
leuO	bglF
leuO	bglG
leuO	cadC
leuO	leuA
leuO	leuL
leuO	leuD
leuO	leuC
leuO	leuB
leuO	yjjQ
lldR	lldP
lldR	lldD
lsrR	lsrC
lsrR	lsrG
lsrR	lsrK
lsrR	lsrA
lsrR	tam
lsrR	lsrD
lsrR	lsrB
lsrR	lsrF
malI	malY
malI	malX
malT	lamB
malT	malP
malT	malM
malT	malK
malT	malG
malT	malF
malT	malE
malT	malQ
malT	malZ
malT	malS
marR	marB
melR	melA
melR	melB
metR	glyA
metR	hmp
metR	metE
metR	metH
metR	metA
mhpR	mhpE
mhpR	mhpA
mhpR	mhpF
mhpR	mhpC
mhpR	mhpD
mhpR	mhpB
modE	modB
modE	hycI
modE	deoA
modE	deoB
modE	deoC
modE	deoD
modE	dmsA
modE	dmsB
modE	dmsC
modE	hycA
modE	hycB
modE	hycC
modE	hycD
modE	hycE
modE	hycF
modE	hycG
modE	hycH
modE	narL
modE	narX
modE	oppA
modE	oppB
modE	oppC
modE	oppD
modE	oppF
modE	moaA
modE	moaB
modE	moaD
modE	moaE
modE	moaC
modE	ccmH
modE	ccmG
modE	ccmF
modE	ccmE
modE	ccmC
modE	ccmB
modE	ccmA
modE	napC
modE	napB
modE	napH
modE	napG
modE	napA
modE	napF
modE	napD
modE	ccmD
modE	modA
modE	modC
mtlR	mtlA
mtlR	mtlD
murR	murP
murR	murQ
nac	asnC
nac	gdhA
nac	mnmG
nac	gltB
nac	gltD
nac	serA
nac	mioC
nac	codA
nac	codB
nac	gabD
nac	gabP
nac	gltF
nac	nupC
nac	gabT
nadR	nadA
nadR	pnuC
nadR	pncB
nadR	nadB
nagC	chbB
nagC	nanC
nagC	chbA
nagC	chbR
nagC	chbF
nagC	fimB
nagC	glmS
nagC	manX
nagC	manY
nagC	manZ
nagC	nagA
nagC	nagB
nagC	nagD
nagC	nagE
nagC	glmU
nagC	galP
nagC	chbG
nagC	nanM
nagC	chbC
nanR	nanK
nanR	nanE
nanR	nanM
nanR	yhcH
nanR	fimB
nanR	nanA
nanR	nanT
nanR	nanC
narL	frdA
narL	frdB
narL	frdC
narL	frdD
narL	fumB
narL	hyaA
narL	hyaB
narL	hyaC
narL	hyaD
narL	hyaE
narL	hyaF
narL	narG
narL	narH
narL	narI
narL	narJ
narL	narK
narL	nirB
narL	nirC
narL	nirD
narL	ogt
narL	pflB
narL	dcuA
narL	fdnG
narL	fdnH
narL	fdnI
narL	focA
narL	ubiC
narL	ubiA
narL	cydD
narL	nikR
narL	nuoM
narL	nuoF
narL	nrfA
narL	hybA
narL	hybB
narL	hybC
narL	hybD
narL	hybE
narL	hybF
narL	hybG
narL	torA
narL	torC
narL	nrfB
narL	nrfC
narL	nrfD
narL	nrfE
narL	nrfF
narL	nrfG
narL	ccmH
narL	ccmG
narL	ccmF
narL	ccmE
narL	ccmC
narL	ccmB
narL	ccmA
narL	napC
narL	napB
narL	napH
narL	napG
narL	napA
narL	napF
narL	nikA
narL	nikB
narL	nikC
narL	nikD
narL	nikE
narL	nuoA
narL	nuoB
narL	nuoC
narL	nuoE
narL	nuoG
narL	nuoH
narL	nuoI
narL	nuoJ
narL	nuoK
narL	nuoL
narL	nuoN
narL	napD
narL	ccmD
narL	torD
narL	norW
narL	caiF
narL	hcr
narL	hcp
narL	ynfE
narL	ynfF
narL	ynfG
narL	ynfH
narL	dmsD
narL	ydhT
narL	ydhU
narL	ydhX
narL	ydhW
narL	ydhV
narL	ydhY
narL	yoaG
narL	yeaR
narL	norV
narL	hybO
narL	dcuR
narL	dcuS
narL	ytfE
narL	dcuB
narL	cydC
narL	adhE
narL	aspA
narL	moeA
narL	moeB
narL	cysG
narL	dmsA
narL	dmsB
narL	dmsC
narL	fdhF
narP	fdnH
narP	fdnI
narP	nrfA
narP	nrfB
narP	nrfC
narP	nrfD
narP	nrfE
narP	nrfF
narP	nrfG
narP	ccmH
narP	ccmG
narP	ccmF
narP	ccmE
narP	ccmC
narP	ccmB
narP	ccmA
narP	napC
narP	napB
narP	napH
narP	napG
narP	napA
narP	napF
narP	napD
narP	ccmD
narP	norW
narP	hcr
narP	hcp
narP	ydhT
narP	ydhU
narP	ydhX
narP	ydhW
narP	ydhV
narP	ydhY
narP	yoaG
narP	yeaR
narP	norV
narP	ytfE
narP	cysG
narP	fdhF
narP	hyaA
narP	hyaB
narP	hyaC
narP	hyaD
narP	hyaE
narP	hyaF
narP	nirB
narP	nirC
narP	nirD
narP	fdnG
nemR	nemA
nikR	nikA
nikR	nikE
nikR	nikC
nikR	nikD
nikR	nikB
norR	norV
norR	norW
nrdR	nrdA
nrdR	nrdB
nrdR	nrdD
nrdR	nrdG
nrdR	nrdE
nrdR	nrdH
nrdR	nrdI
nrdR	nrdF
glnG	hisM
glnG	ygjG
glnG	glnA
glnG	glnH
glnG	glnL
glnG	glnP
glnG	glnQ
glnG	hisP
glnG	potF
glnG	potG
glnG	potH
glnG	potI
glnG	amtB
glnG	hisJ
glnG	hisQ
glnG	glnK
glnG	yhdW
glnG	yhdX
glnG	yhdY
glnG	yhdZ
glnG	rutG
glnG	rutF
glnG	rutE
glnG	rutD
glnG	rutC
glnG	rutB
glnG	rutA
glnG	ddpF
glnG	ddpD
glnG	ddpC
glnG	ddpB
glnG	ddpA
glnG	ddpX
glnG	astE
glnG	astB
glnG	astD
glnG	astA
glnG	astC
glnG	yeaG
glnG	yeaH
glnG	cbl
glnG	nac
glnG	argT
paaX	maoC
paaX	paaA
paaX	paaB
paaX	paaC
paaX	paaD
paaX	paaK
paaX	paaF
paaX	paaG
paaX	paaH
paaX	paaI
paaX	paaJ
paaX	paaE
pdhR	aceE
pdhR	tomB
pdhR	cyoA
pdhR	cyoB
pdhR	cyoC
pdhR	cyoD
pdhR	cyoE
pdhR	fecA
pdhR	fecB
pdhR	fecC
pdhR	fecD
pdhR	fecE
pdhR	hemL
pdhR	hha
pdhR	lpd
pdhR	ndh
pdhR	yfiD
pdhR	aceF
pepA	carA
pepA	carB
prpR	prpD
prpR	prpB
prpR	prpC
prpR	prpE
pspF	pspG
pspF	pspE
pspF	pspA
pspF	pspB
pspF	pspC
pspF	pspD
putA	putP
rbsR	rbsA
rbsR	rbsB
rbsR	rbsD
rbsR	rbsK
rbsR	rbsC
rhaR	rhaS
rhaS	rhaT
rhaS	rhaA
rhaS	rhaB
rhaS	rhaR
rhaS	rhaD
rstA	ompF
rstA	narG
rstA	narH
rstA	narI
rstA	asr
rstA	csgE
rstA	csgF
rstA	csgG
rstA	narJ
rtcR	rtcA
rtcR	rtcB
rutR	nemR
rutR	gmr
rutR	rutA
rutR	rutB
rutR	rutC
rutR	rutD
rutR	rutE
rutR	rutF
rutR	rutG
rutR	gadX
rutR	gadW
rutR	fepB
rutR	carB
rutR	nemA
rutR	carA
slyA	hlyE
soxR	fumC
stpA	bglB
stpA	bglF
stpA	bglG
tdcA	tdcC
tdcA	tdcD
tdcA	tdcG
tdcA	tdcF
tdcA	tdcE
tdcA	tdcB
tdcR	tdcE
tdcR	tdcA
tdcR	tdcB
tdcR	tdcC
tdcR	tdcF
tdcR	tdcG
tdcR	tdcD
torR	tnaB
torR	gadA
torR	gadX
torR	torD
torR	torC
torR	torA
torR	yhiD
torR	hdeB
torR	hdeA
torR	tnaC
torR	tnaA
treR	treC
treR	treB
trpR	trpB
trpR	trpA
trpR	trpC
trpR	trpD
trpR	trpE
trpR	yaiA
trpR	trpL
trpR	mtr
trpR	aroH
trpR	aroL
trpR	aroM
tyrR	yaiA
tyrR	tyrA
tyrR	mtr
tyrR	tyrP
tyrR	folA
tyrR	aroF
tyrR	aroG
tyrR	aroL
tyrR	aroM
tyrR	aroP
tyrR	tyrB
uhpA	uhpT
uidR	uidC
uidR	uidB
uidR	uidA
ulaR	ulaF
ulaR	ulaE
ulaR	ulaD
ulaR	ulaA
ulaR	ulaG
ulaR	ulaC
ulaR	ulaB
uxuR	uidA
uxuR	uxuA
uxuR	uidB
uxuR	gntP
uxuR	uxuB
uxuR	uidC
xylR	xylG
xylR	xylH
xylR	xylF
xylR	xylA
xylR	xylB
ydeO	mdtF
ydeO	mdtE
ydeO	gadE
yiaJ	yiaN
yiaJ	yiaM
yiaJ	yiaL
yiaJ	yiaK
yiaJ	yiaO
yiaJ	sgbE
yiaJ	sgbU
yiaJ	sgbH
yiaJ	lyxK
zraR	zraP
zraR	zraS
