Method,min lambda,min jtlide_lambda,dataset,size,trial
FFL,-0.00060618,-0.28217,5,1000,2
FFL,-0.00076218,-0.27079,6,1000,2
FFL,-1.7894E-05,-0.35295,7,1000,2
FFL,-4.0605E-05,-0.23647,8,1000,2
FFL,-0.0014442,-0.23597,9,1000,2
FFL,-0.0012965,-0.19352,10,1000,2
FFL,-0.0011959,-0.2548,1,1000,3
FFL,-7.1162E-05,-0.22373,2,1000,3
FFL,-0.0020164,-0.40097,3,1000,3
FFL,-0.00081837,-0.20292,4,1000,3
FFL,-0.0040439,-0.27574,5,1000,3
FFL,-0.00093344,-0.15489,6,1000,3
FFL,-0.00025382,-0.24218,7,1000,3
FFL,-0.0029465,-0.27692,8,1000,3
FFL,-0.0041046,-0.1965,9,1000,3
FFL,-0.00063938,-0.27154,10,1000,3
FFL,-0.00069184,-0.48012,1,1000,4
FFL,-0.00076697,-0.21272,2,1000,4
FFL,-0.0037303,-0.23781,3,1000,4
FFL,-0.001551,-0.35306,4,1000,4
FFL,-0.003599,-0.25952,5,1000,4
FFL,-0.00010659,-0.17882,6,1000,4
FFL,-0.00054593,-0.19478,7,1000,4
FFL,-0.00012941,-0.23703,8,1000,4
FFL,-0.00070076,-0.4249,9,1000,4
FFL,-0.0015473,-0.33082,10,1000,4
FFL,-0.00080938,-0.39683,1,1000,5
FFL,-0.0030204,-0.22827,2,1000,5
FFL,-0.0019214,-0.23034,3,1000,5
FFL,-0.0013997,-0.16767,4,1000,5
FFL,-9.8319E-05,-0.23456,5,1000,5
FFL,-0.0024376,-0.25986,6,1000,5
FFL,-0.0015061,-0.24531,7,1000,5
FFL,-0.0013236,-0.2036,8,1000,5
FFL,-0.0011428,-0.27808,9,1000,5
FFL,-0.00033855,-0.27019,10,1000,5
FFL,-0.00032149,-0.26637,1,1000,6
FFL,-0.0016008,-0.24241,2,1000,6
FFL,-0.0013448,-0.27207,3,1000,6
FFL,-0.0024824,-0.21713,4,1000,6
FFL,-0.0015956,-0.24659,5,1000,6
FFL,-0.00014281,-0.32742,6,1000,6
FFL,-0.00081136,-0.27879,7,1000,6
FFL,-0.00030843,-0.33175,8,1000,6
FFL,-0.0010758,-0.22169,9,1000,6
FFL,-0.00021715,-0.3766,10,1000,6
FFL,-0.0027528,-0.25548,1,1000,7
FFL,-0.0017903,-0.24659,2,1000,7
FFL,-0.0018652,-0.24832,3,1000,7
FFL,-0.0011407,-0.27481,4,1000,7
FFL,-0.0015112,-0.2609,5,1000,7
FFL,-0.0010012,-0.16584,6,1000,7
FFL,-0.0020985,-0.25939,7,1000,7
FFL,-0.00091256,-0.18228,8,1000,7
FFL,-0.0009263,-0.25624,9,1000,7
FFL,-0.00011703,-0.28838,10,1000,7
FFL,-0.00063378,-0.32955,1,1000,8
FFL,-0.0025559,-0.3359,2,1000,8
FFL,-0.0040569,-0.22657,3,1000,8
FFL,-0.0011405,-0.23907,4,1000,8
FFL,-9.4587E-05,-0.24331,5,1000,8
FFL,-0.0010313,-0.31384,6,1000,8
FFL,-0.00041626,-0.29455,7,1000,8
FFL,-0.0020458,-0.44181,8,1000,8
FFL,-0.00027459,-0.18445,9,1000,8
FFL,-0.0015662,-0.24412,10,1000,8
FFL,-6.4587E-06,-0.31891,1,1000,9
FFL,-0.0013829,-0.23906,2,1000,9
FFL,-0.0022187,-0.27249,3,1000,9
FFL,-0.00285,-0.17736,4,1000,9
FFL,-0.0023438,-0.35425,5,1000,9
FFL,-0.0030666,-0.4412,6,1000,9
FFL,-0.0018491,-0.37138,7,1000,9
FFL,-0.0013761,-0.31428,8,1000,9
FFL,-0.0011143,-0.46337,9,1000,9
FFL,-0.0012152,-0.25229,10,1000,9
FFL,-0.0010095,-0.30779,1,1000,10
FFL,-0.00057501,-0.25337,2,1000,10
FFL,-0.00086522,-0.2423,3,1000,10
FFL,-0.0013447,-0.22707,4,1000,10
FFL,-8.7288E-05,-0.23095,5,1000,10
FFL,-0.0025462,-0.24616,6,1000,10
FFL,-0.00082012,-0.18385,7,1000,10
FFL,-0.00064885,-0.31153,8,1000,10
FFL,-0.00075579,-0.31518,9,1000,10
FFL,-0.00021881,-0.27441,10,1000,10
FFL,-0.0013917,-0.25684,1,1500,1
FFL,-0.00034401,-0.28051,2,1500,1
FFL,-0.0015849,-0.49136,3,1500,1
FFL,-0.00046605,-0.32885,4,1500,1
FFL,-7.811E-05,-0.40971,5,1500,1
FFL,-0.00059054,-0.20999,6,1500,1
FFL,-0.0010351,-0.20273,7,1500,1
FFL,-0.00076856,-0.24951,8,1500,1
FFL,-0.0003746,-0.25589,9,1500,1
FFL,-0.0010905,-0.2711,10,1500,1
FFL,-0.00072688,-0.24728,1,1500,2
FFL,-0.00090548,-0.21929,2,1500,2
FFL,-0.00074625,-0.30566,3,1500,2
FFL,-0.0012587,-0.30141,4,1500,2
FFL,-5.5021E-05,-0.43612,5,1500,2
FFL,-0.0003983,-0.24083,6,1500,2
FFL,-0.00075323,-0.28553,7,1500,2
FFL,-0.00032317,-0.26381,8,1500,2
FFL,-0.0012391,-0.23352,9,1500,2
FFL,-0.0011468,-0.25107,10,1500,2
FFL,-0.0001143,-0.26279,1,1500,3
FFL,-0.00080767,-0.28926,2,1500,3
FFL,-0.0015524,-0.29103,3,1500,3
FFL,-0.00055721,-0.37184,4,1500,3
FFL,-0.00091933,-0.2495,5,1500,3
FFL,-0.00031315,-0.1457,6,1500,3
FFL,-0.00042198,-0.20314,7,1500,3
FFL,-0.0011774,-0.30965,8,1500,3
FFL,-0.001948,-0.34841,9,1500,3
FFL,-0.0012096,-0.20977,10,1500,3
FFL,-0.00079395,-0.26746,1,1500,4
FFL,-0.0014561,-0.27136,2,1500,4
FFL,-0.00019186,-0.25359,3,1500,4
FFL,-0.00080656,-0.38921,4,1500,4
FFL,-0.0011108,-0.44858,5,1500,4
FFL,-0.00013507,-0.38958,6,1500,4
FFL,-0.0016998,-0.22653,7,1500,4
FFL,-0.00045989,-0.27993,8,1500,4
FFL,-0.0012178,-0.24891,9,1500,4
FFL,-8.8482E-05,-0.2848,10,1500,4
FFL,-0.00099594,-0.1868,1,1500,5
FFL,-0.0014107,-0.2602,2,1500,5
FFL,-6.3653E-05,-0.27471,3,1500,5
FFL,-0.0015452,-0.24973,4,1500,5
FFL,-0.001037,-0.20282,5,1500,5
FFL,-0.0011448,-0.33798,6,1500,5
FFL,-0.0018084,-0.28069,7,1500,5
FFL,-0.0010954,-0.28834,8,1500,5
FFL,-0.00018469,-0.28682,9,1500,5
FFL,-0.00089331,-0.32568,10,1500,5
FFL,-0.0012077,-0.25472,1,1500,6
FFL,-0.00016781,-0.16835,2,1500,6
FFL,-0.0018181,-0.20463,3,1500,6
FFL,-0.0011151,-0.24482,4,1500,6
FFL,-0.0019428,-0.2456,5,1500,6
FFL,-0.0009058,-0.17703,6,1500,6
FFL,-0.00071482,-0.33619,7,1500,6
FFL,-0.0013058,-0.22106,8,1500,6
FFL,-0.0010943,-0.20108,9,1500,6
FFL,-0.0010276,-0.20989,10,1500,6
FFL,-0.00070313,-0.22559,1,1500,7
FFL,-0.0009674,-0.32324,2,1500,7
FFL,-0.00013994,-0.24262,3,1500,7
FFL,-0.0013257,-0.40976,4,1500,7
FFL,-0.001899,-0.15804,5,1500,7
FFL,-0.00017066,-0.20453,6,1500,7
FFL,-2.0296E-05,-0.23255,7,1500,7
FFL,-0.00094495,-0.28625,8,1500,7
FFL,-0.0010975,-0.23539,9,1500,7
FFL,-0.0005073,-0.20949,10,1500,7
FFL,-0.00072474,-0.26679,1,1500,8
FFL,-0.00057088,-0.36122,2,1500,8
FFL,-0.00088857,-0.24423,3,1500,8
FFL,-0.00096403,-0.24451,4,1500,8
FFL,-0.00053315,-0.21971,5,1500,8
FFL,-0.00095461,-0.19306,6,1500,8
FFL,-0.00070223,-0.26639,7,1500,8
FFL,-0.00016006,-0.43404,8,1500,8
FFL,-0.00034326,-0.23104,9,1500,8
FFL,-0.0010999,-0.28999,10,1500,8
FFL,-0.00023484,-0.34287,1,1500,9
FFL,-0.00090441,-0.30578,2,1500,9
FFL,-0.0010925,-0.18457,3,1500,9
FFL,-0.00047423,-0.19697,4,1500,9
FFL,-0.0011829,-0.36421,5,1500,9
FFL,-0.00064631,-0.22196,6,1500,9
FFL,-0.00040895,-0.25134,7,1500,9
FFL,-0.00017917,-0.24456,8,1500,9
FFL,-0.0004451,-0.20537,9,1500,9
FFL,-0.0006042,-0.21554,10,1500,9
FFL,-0.00018457,-0.33302,1,1500,10
FFL,-0.0016178,-0.40722,2,1500,10
FFL,-0.00086099,-0.32547,3,1500,10
FFL,-0.0015534,-0.34433,4,1500,10
FFL,-0.00037526,-0.21178,5,1500,10
FFL,-6.4072E-05,-0.18716,6,1500,10
FFL,-0.00078431,-0.21006,7,1500,10
FFL,-0.0011116,-0.24666,8,1500,10
FFL,-0.0021535,-0.2295,9,1500,10
FFL,-0.00069837,-0.34275,10,1500,10
randG,-0.0012037,-0.38353,1,500,1
randG,-0.0050034,-0.40969,2,500,1
randG,-0.003034,-0.37637,3,500,1
randG,-0.0053001,-0.41627,4,500,1
randG,-0.0057885,-0.3946,5,500,1
randG,-0.0023862,-0.38962,6,500,1
randG,-0.0014839,-0.38064,7,500,1
randG,-0.0074068,-0.38252,8,500,1
randG,-0.0006553,-0.40747,9,500,1
randG,-0.0040312,-0.37915,10,500,1
randG,-0.00033135,-0.3975,1,500,2
randG,-0.0015692,-0.38539,2,500,2
randG,-0.0020212,-0.38044,3,500,2
randG,-0.0014194,-0.38284,4,500,2
randG,-0.0012104,-0.37735,5,500,2
randG,-0.0021293,-0.37698,6,500,2
randG,-0.0015444,-0.39441,7,500,2
randG,-0.0011994,-0.39988,8,500,2
randG,-0.00081412,-0.3872,9,500,2
randG,-0.002189,-0.37588,10,500,2
randG,-0.0053425,-0.37972,1,500,3
randG,-0.0030202,-0.38198,2,500,3
randG,-0.00116,-0.38491,3,500,3
randG,-0.00033076,-0.36133,4,500,3
randG,-0.0014598,-0.38419,5,500,3
randG,-0.000322,-0.38155,6,500,3
randG,-0.00070038,-0.39186,7,500,3
randG,-0.00053523,-0.38696,8,500,3
randG,-0.0024891,-0.42703,9,500,3
randG,-0.0041443,-0.38472,10,500,3
randG,-0.0030615,-0.41526,1,500,4
randG,-0.0040168,-0.41085,2,500,4
randG,-0.0035996,-0.39485,3,500,4
randG,-0.0035112,-0.37963,4,500,4
randG,-0.0033854,-0.39116,5,500,4
randG,-0.00074238,-0.4062,6,500,4
randG,-0.005434,-0.39568,7,500,4
randG,-0.012624,-0.39672,8,500,4
randG,-0.0065491,-0.38752,9,500,4
randG,-0.00026602,-0.39732,10,500,4
randG,-0.00013492,-0.43348,1,500,5
randG,-0.0021016,-0.3999,2,500,5
randG,-0.0024043,-0.38,3,500,5
randG,-0.0050321,-0.40828,4,500,5
randG,-0.0017601,-0.38293,5,500,5
randG,-0.00034593,-0.41596,6,500,5
randG,-0.0020216,-0.37176,7,500,5
randG,-0.00046303,-0.40696,8,500,5
randG,-0.0024422,-0.39134,9,500,5
randG,-0.002995,-0.37685,10,500,5
randG,-0.00095261,-0.38856,1,500,6
randG,-0.0034416,-0.35891,2,500,6
randG,-0.00018353,-0.37665,3,500,6
randG,-0.0032967,-0.39369,4,500,6
randG,-0.0011926,-0.38832,5,500,6
randG,-0.0057488,-0.38421,6,500,6
randG,-0.0010967,-0.39896,7,500,6
randG,-0.004537,-0.38749,8,500,6
randG,-0.00014039,-0.40582,9,500,6
randG,-0.0044752,-0.39135,10,500,6
randG,-0.0021472,-0.40634,1,500,7
randG,-0.0022197,-0.39928,2,500,7
randG,-0.0029078,-0.40883,3,500,7
randG,-0.0036143,-0.39989,4,500,7
randG,-0.00025511,-0.4118,5,500,7
randG,-0.0008582,-0.38589,6,500,7
randG,-0.0025377,-0.38701,7,500,7
randG,-0.0021727,-0.39752,8,500,7
randG,-0.0021835,-0.36812,9,500,7
randG,-0.0027564,-0.37763,10,500,7
randG,-0.0026641,-0.38049,1,500,8
randG,-0.0040211,-0.38026,2,500,8
randG,-0.0088178,-0.39222,3,500,8
randG,-0.00039536,-0.36908,4,500,8
randG,-0.0014835,-0.3818,5,500,8
randG,-0.0042759,-0.39065,6,500,8
randG,-0.0021323,-0.39965,7,500,8
randG,-0.0024939,-0.40591,8,500,8
randG,-0.0018202,-0.37116,9,500,8
randG,-0.00058492,-0.39899,10,500,8
randG,-0.0003773,-0.41744,1,500,9
randG,-0.00048557,-0.42279,2,500,9
randG,-0.0034865,-0.35723,3,500,9
randG,-0.0047264,-0.37981,4,500,9
randG,-0.0028121,-0.38375,5,500,9
randG,-0.0042345,-0.37322,6,500,9
randG,-0.0026909,-0.38576,7,500,9
randG,-0.0073016,-0.38405,8,500,9
randG,-0.0017835,-0.37209,9,500,9
randG,-0.0036194,-0.38438,10,500,9
randG,-0.00015469,-0.39205,1,500,10
randG,-0.00096736,-0.41227,2,500,10
randG,-0.0008099,-0.37049,3,500,10
randG,-0.000443,-0.39911,4,500,10
randG,-0.00023289,-0.42945,5,500,10
randG,-0.00071213,-0.38909,6,500,10
randG,-0.0028274,-0.39133,7,500,10
randG,-0.001132,-0.42817,8,500,10
randG,-0.0003105,-0.38469,9,500,10
randG,-0.0034901,-0.40488,10,500,10
randG,-0.00043142,-0.45424,1,750,1
randG,-0.0018626,-0.45432,2,750,1
randG,-0.0035592,-0.46436,3,750,1
randG,-0.00075639,-0.46226,4,750,1
randG,-0.0016553,-0.43924,5,750,1
randG,-3.7528E-06,-0.44414,6,750,1
randG,-0.00096058,-0.46433,7,750,1
randG,-0.0023075,-0.46288,8,750,1
randG,-0.0082731,-0.48838,9,750,1
randG,-0.0024602,-0.43533,10,750,1
randG,-0.00081986,-0.4484,1,750,2
randG,-0.00019617,-0.46223,2,750,2
randG,-0.0031852,-0.46278,3,750,2
randG,-0.0022438,-0.44934,4,750,2
randG,-0.00055911,-0.45317,5,750,2
randG,-6.4908E-05,-0.44104,6,750,2
randG,-0.0019795,-0.46152,7,750,2
randG,-0.004161,-0.43955,8,750,2
randG,-0.0027343,-0.46778,9,750,2
randG,-0.0010281,-0.45784,10,750,2
randG,-0.0024183,-0.47433,1,750,3
randG,-0.0018206,-0.47118,2,750,3
randG,-0.0002731,-0.45551,3,750,3
randG,-0.0034684,-0.45063,4,750,3
randG,-0.002548,-0.47598,5,750,3
randG,-0.00067978,-0.45646,6,750,3
randG,-0.00027096,-0.4507,7,750,3
randG,-0.00027075,-0.47183,8,750,3
randG,-7.3307E-05,-0.46344,9,750,3
randG,-0.00071519,-0.45102,10,750,3
randG,-3.3445E-06,-0.46122,1,750,4
randG,-0.00054788,-0.47141,2,750,4
randG,-0.0032081,-0.44825,3,750,4
randG,-0.0011262,-0.44239,4,750,4
randG,-1.9312E-06,-0.49181,5,750,4
randG,-0.00016792,-0.45273,6,750,4
randG,-0.0022223,-0.48064,7,750,4
randG,-0.0018198,-0.45207,8,750,4
randG,-2.5796E-05,-0.47636,9,750,4
randG,-0.0019735,-0.4573,10,750,4
randG,-0.0024208,-0.4837,1,750,5
randG,-0.0025477,-0.47415,2,750,5
randG,-0.00073822,-0.48538,3,750,5
randG,-0.0015142,-0.44384,4,750,5
randG,-0.0053439,-0.45368,5,750,5
randG,-0.0031464,-0.46219,6,750,5
randG,-0.002296,-0.47443,7,750,5
randG,-0.00088157,-0.49993,8,750,5
randG,-0.0019242,-0.43729,9,750,5
randG,-0.003922,-0.48228,10,750,5
randG,-0.008595,-0.45045,1,750,6
randG,-0.00019459,-0.47447,2,750,6
randG,-0.0011131,-0.45043,3,750,6
randG,-0.00061288,-0.46885,4,750,6
randG,-0.0013553,-0.45124,5,750,6
randG,-0.0029076,-0.46437,6,750,6
randG,-6.9037E-05,-0.46359,7,750,6
randG,-0.0029451,-0.45988,8,750,6
randG,-0.00069784,-0.47296,9,750,6
randG,-0.00072689,-0.45009,10,750,6
randG,-0.0014004,-0.47155,1,750,7
randG,-0.0012504,-0.46207,2,750,7
randG,-0.0014757,-0.47089,3,750,7
randG,-0.0031528,-0.44669,4,750,7
randG,-0.0015827,-0.46463,5,750,7
randG,-0.0020971,-0.46313,6,750,7
randG,-0.00070689,-0.45455,7,750,7
randG,-0.0010482,-0.45135,8,750,7
randG,-0.0021648,-0.44704,9,750,7
randG,-0.0007257,-0.45663,10,750,7
randG,-0.0021729,-0.46227,1,750,8
randG,-0.001052,-0.47641,2,750,8
randG,-0.0039382,-0.44584,3,750,8
randG,-0.00063514,-0.45282,4,750,8
randG,-0.0029279,-0.44778,5,750,8
randG,-0.00026512,-0.47825,6,750,8
randG,-0.0040137,-0.43683,7,750,8
randG,-0.00041534,-0.48404,8,750,8
randG,-0.0018413,-0.43981,9,750,8
randG,-0.0017277,-0.42618,10,750,8
randG,-0.0034908,-0.46996,1,750,9
randG,-0.00036891,-0.45507,2,750,9
randG,-3.234E-05,-0.47075,3,750,9
randG,-0.0025694,-0.47544,4,750,9
randG,-0.0017669,-0.46291,5,750,9
randG,-0.00028781,-0.43733,6,750,9
randG,-0.0034296,-0.4439,7,750,9
randG,-0.00043201,-0.46468,8,750,9
randG,-0.0017327,-0.4568,9,750,9
randG,-0.00063253,-0.45625,10,750,9
randG,-0.0021735,-0.43601,1,750,10
randG,-0.0014697,-0.44219,2,750,10
randG,-0.0012688,-0.45338,3,750,10
randG,-0.00064531,-0.4728,4,750,10
randG,-0.009128,-0.45931,5,750,10
randG,-0.0004411,-0.45069,6,750,10
randG,-0.00065216,-0.45141,7,750,10
randG,-0.0013533,-0.4569,8,750,10
randG,-0.0059586,-0.47063,9,750,10
randG,-0.00082777,-0.43878,10,750,10
randG,-0.0053102,-0.52029,1,1000,1
randG,-0.010312,-0.51632,2,1000,1
randG,-0.00066174,-0.51329,3,1000,1
randG,-0.0020871,-0.51463,4,1000,1
randG,-0.0019844,-0.50701,5,1000,1
randG,-0.00060739,-0.50476,6,1000,1
randG,-0.00084357,-0.51682,7,1000,1
randG,-0.0018464,-0.52695,8,1000,1
randG,-0.017895,-0.53803,9,1000,1
randG,-0.0003436,-0.52686,10,1000,1
randG,-0.00071679,-0.51094,1,1000,2
randG,-0.00049866,-0.52397,2,1000,2
randG,-0.0007231,-0.50081,3,1000,2
randG,-0.0019252,-0.50486,4,1000,2
randG,-0.0003025,-0.50275,5,1000,2
randG,-0.0021687,-0.52261,6,1000,2
randG,-0.00048785,-0.51649,7,1000,2
randG,-0.0012721,-0.54241,8,1000,2
randG,-0.0024945,-0.49019,9,1000,2
randG,-0.0016241,-0.52124,10,1000,2
randG,-0.00051081,-0.50519,1,1000,3
randG,-0.0046716,-0.49718,2,1000,3
randG,-0.00068271,-0.51026,3,1000,3
randG,-0.00025834,-0.5013,4,1000,3
randG,-0.0010225,-0.51604,5,1000,3
randG,-0.00039805,-0.50813,6,1000,3
randG,-0.00066477,-0.48547,7,1000,3
randG,-0.002833,-0.50772,8,1000,3
randG,-0.00038964,-0.49784,9,1000,3
randG,-0.00051669,-0.53531,10,1000,3
randG,-0.0020012,-0.51007,1,1000,4
randG,-0.0060994,-0.50275,2,1000,4
randG,-0.0019475,-0.50795,3,1000,4
randG,-8.7253E-05,-0.51761,4,1000,4
randG,-0.00037952,-0.50126,5,1000,4
randG,-0.00048022,-0.50825,6,1000,4
randG,-0.0014155,-0.49688,7,1000,4
randG,-0.00061678,-0.50414,8,1000,4
randG,-0.00087468,-0.50451,9,1000,4
randG,-0.00063812,-0.50079,10,1000,4
randG,-0.00074843,-0.49516,1,1000,5
randG,-0.00058052,-0.50131,2,1000,5
randG,-0.00095302,-0.51521,3,1000,5
randG,-0.00027207,-0.51309,4,1000,5
randG,-0.00011445,-0.51937,5,1000,5
randG,-0.0013903,-0.52103,6,1000,5
randG,-0.0019971,-0.50831,7,1000,5
randG,-0.00073514,-0.52111,8,1000,5
randG,-0.005,-0.51469,9,1000,5
randG,-0.0042647,-0.50658,10,1000,5
randG,-0.0016248,-0.5257,1,1000,6
randG,-0.0012711,-0.51547,2,1000,6
randG,-0.00019392,-0.51606,3,1000,6
randG,-0.0037547,-0.53818,4,1000,6
randG,-0.00090091,-0.50708,5,1000,6
randG,-0.00074286,-0.50565,6,1000,6
randG,-0.00050025,-0.51273,7,1000,6
randG,-0.0010576,-0.51425,8,1000,6
randG,-0.0015956,-0.51805,9,1000,6
randG,-0.00081318,-0.49125,10,1000,6
randG,-0.0025166,-0.51192,1,1000,7
randG,-0.0029883,-0.5096,2,1000,7
randG,-0.0047068,-0.50692,3,1000,7
randG,-0.001746,-0.50787,4,1000,7
randG,-0.0010325,-0.51376,5,1000,7
randG,-0.0027966,-0.50136,6,1000,7
randG,-0.00025447,-0.51789,7,1000,7
randG,-0.00011882,-0.49423,8,1000,7
randG,-8.6206E-05,-0.53167,9,1000,7
randG,-0.0027547,-0.50407,10,1000,7
randG,-0.0016848,-0.50326,1,1000,8
randG,-0.007259,-0.50903,2,1000,8
randG,-0.00022504,-0.54384,3,1000,8
randG,-0.00017975,-0.49692,4,1000,8
randG,-0.0009326,-0.52225,5,1000,8
randG,-0.0016445,-0.51161,6,1000,8
randG,-0.0022461,-0.50764,7,1000,8
randG,-0.00087273,-0.50429,8,1000,8
randG,-0.0039844,-0.51601,9,1000,8
randG,-0.00018597,-0.54784,10,1000,8
randG,-0.0030784,-0.51226,1,1000,9
randG,-0.00083721,-0.52196,2,1000,9
randG,-0.00045439,-0.53713,3,1000,9
randG,-0.0018011,-0.51844,4,1000,9
randG,-0.0022484,-0.49965,5,1000,9
randG,-0.00040962,-0.52983,6,1000,9
randG,-0.00087949,-0.50565,7,1000,9
randG,-0.0013671,-0.48685,8,1000,9
randG,-0.00027104,-0.53045,9,1000,9
randG,-0.00081688,-0.54158,10,1000,9
randG,-0.0039549,-0.51618,1,1000,10
randG,-0.0040217,-0.50147,2,1000,10
randG,-0.0011835,-0.53544,3,1000,10
randG,-0.00066234,-0.4793,4,1000,10
randG,-0.00029573,-0.52582,5,1000,10
randG,-0.00020728,-0.50967,6,1000,10
randG,-0.00037776,-0.50305,7,1000,10
randG,-3.7429E-05,-0.51405,8,1000,10
randG,-0.0039612,-0.50237,9,1000,10
randG,-0.0017221,-0.51061,10,1000,10
randG,-0.0010218,-0.5941,1,1500,1
randG,-0.00075207,-0.61507,2,1500,1
randG,-0.00036255,-0.59301,3,1500,1
randG,-0.0013635,-0.58547,4,1500,1
randG,-0.00085837,-0.59858,5,1500,1
randG,-0.00031273,-0.59283,6,1500,1
randG,-0.0069234,-0.59362,7,1500,1
randG,-0.009425,-0.59141,8,1500,1
randG,-0.00094848,-0.58945,9,1500,1
randG,-0.0011271,-0.58091,10,1500,1
randG,-0.00035944,-0.58041,1,1500,2
randG,-0.00216,-0.76484,2,1500,2
randG,-7.004E-05,-0.57389,3,1500,2
randG,-0.00048135,-0.58996,4,1500,2
randG,-0.000908,-0.59663,5,1500,2
randG,-0.00037278,-0.59999,6,1500,2
randG,-0.0021146,-0.72852,7,1500,2
randG,-0.0028453,-0.58095,8,1500,2
randG,-0.00014457,-0.60832,9,1500,2
randG,-0.00084877,-0.60695,10,1500,2
randG,-0.00017526,-0.59479,1,1500,3
randG,-0.00026356,-0.58384,2,1500,3
randG,-0.00045362,-0.5845,3,1500,3
randG,-0.00076184,-0.5792,4,1500,3
randG,-0.0005157,-0.59122,5,1500,3
randG,-0.00031248,-0.5766,6,1500,3
randG,-0.0014894,-0.6115,7,1500,3
randG,-0.00031279,-0.5824,8,1500,3
randG,-0.00020451,-0.76689,9,1500,3
randG,-8.7007E-05,-0.58192,10,1500,3
randG,-0.00051942,-0.60116,1,1500,4
randG,-0.00069139,-0.57244,2,1500,4
randG,-0.00023427,-0.58033,3,1500,4
randG,-0.00093014,-0.5926,4,1500,4
randG,-0.0015245,-0.81051,5,1500,4
randG,-0.002892,-0.56912,6,1500,4
randG,-0.00052162,-0.58332,7,1500,4
randG,-0.00038611,-0.5963,8,1500,4
randG,-0.00043656,-0.55688,9,1500,4
randG,-2.7737E-05,-0.58005,10,1500,4
randG,-0.0018173,-0.58739,1,1500,5
randG,-0.00078816,-0.56498,2,1500,5
randG,-0.00038168,-0.62366,3,1500,5
randG,-0.00043485,-0.75221,4,1500,5
randG,-0.00073913,-0.59224,5,1500,5
randG,-0.00058066,-0.57228,6,1500,5
randG,-0.0022154,-0.59433,7,1500,5
randG,-0.00020835,-0.58488,8,1500,5
randG,-0.002802,-0.57617,9,1500,5
randG,-3.2596E-05,-0.5857,10,1500,5
randG,-0.00028132,-0.59101,1,1500,6
randG,-0.0009652,-0.59074,2,1500,6
randG,-0.00085142,-0.59606,3,1500,6
randG,-0.00037908,-0.59595,4,1500,6
randG,-0.00082173,-0.58633,5,1500,6
randG,-0.00031027,-0.58588,6,1500,6
randG,-0.0008207,-0.59661,7,1500,6
randG,-0.00061845,-0.60541,8,1500,6
randG,-0.00030884,-0.59226,9,1500,6
randG,-0.00029517,-0.56581,10,1500,6
randG,-0.00017186,-0.58502,1,1500,7
randG,-0.00045502,-0.59513,2,1500,7
randG,-0.0003327,-0.5966,3,1500,7
randG,-7.5339E-05,-0.58492,4,1500,7
randG,-0.00022746,-0.58575,5,1500,7
randG,-0.002948,-0.59999,6,1500,7
randG,-0.00028037,-0.59308,7,1500,7
randG,-0.00052097,-0.56734,8,1500,7
randG,-0.0014616,-0.60574,9,1500,7
randG,-2.7416E-05,-0.59248,10,1500,7
randG,-0.0011816,-0.57789,1,1500,8
randG,-0.00079187,-0.57591,2,1500,8
randG,-0.0033996,-0.59522,3,1500,8
randG,-0.0011243,-0.58224,4,1500,8
randG,-0.00010547,-0.57171,5,1500,8
randG,-0.00018524,-0.58308,6,1500,8
randG,-0.0016089,-0.59188,7,1500,8
randG,-0.0013979,-0.56866,8,1500,8
randG,-0.0011152,-0.56944,9,1500,8
randG,-0.0014265,-0.59317,10,1500,8
randG,-0.00070434,-0.5872,1,1500,9
randG,-0.00085954,-0.6002,2,1500,9
randG,-6.9876E-05,-0.57682,3,1500,9
randG,-0.0017437,-0.59896,4,1500,9
randG,-0.0018199,-0.57331,5,1500,9
randG,-0.00012395,-0.75999,6,1500,9
randG,-0.0005484,-0.585,7,1500,9
randG,-0.0030808,-0.60369,8,1500,9
randG,-0.00079818,-0.57679,9,1500,9
randG,-0.00067165,-0.57556,10,1500,9
randG,-0.0009726,-0.59263,1,1500,10
randG,-0.00027866,-0.5946,2,1500,10
randG,-0.00029251,-0.58988,3,1500,10
randG,-0.0017895,-0.58691,4,1500,10
randG,-0.0018678,-0.58292,5,1500,10
randG,-0.00074958,-0.57266,6,1500,10
randG,-0.0011681,-0.5919,7,1500,10
randG,-0.00053198,-0.57364,8,1500,10
randG,-0.00025513,-0.58099,9,1500,10
randG,-9.6123E-06,-0.58988,10,1500,10
DAG,-0.0050098,-0.27391,1,500,1
DAG,-0.00060013,-0.27001,2,500,1
DAG,-0.00074905,-0.25537,3,500,1
DAG,-0.0008999,-0.28424,4,500,1
DAG,-0.0046052,-0.24055,5,500,1
DAG,-0.00065253,-0.24949,6,500,1
DAG,-0.0058973,-0.24415,7,500,1
DAG,-0.0037259,-0.25612,8,500,1
DAG,-0.00078158,-0.23985,9,500,1
DAG,-0.0006664,-0.24219,10,500,1
DAG,-0.00024855,-0.26066,1,500,2
DAG,-0.0031344,-0.24426,2,500,2
DAG,-0.0064027,-0.258,3,500,2
DAG,-0.00046499,-0.26371,4,500,2
DAG,-0.0014727,-0.24583,5,500,2
DAG,-0.00033322,-0.22938,6,500,2
DAG,-0.00025077,-0.25968,7,500,2
DAG,-0.0017789,-0.22955,8,500,2
DAG,-0.00029839,-0.25911,9,500,2
DAG,-0.0030164,-0.24206,10,500,2
DAG,-0.0017132,-0.23298,1,500,3
